id,published_at,views,likes,dislikes,comments,length
HF5AyR1ewFQ,2014-07-02T18:34:04Z,206461,7399,0,527,PT10M7S
JX1ebvqMjOw,2014-02-16T23:13:47Z,100,2,0,0,PT2M42S
x4obljO19-s,2014-04-14T19:43:16Z,607,22,0,9,PT1M40S
YrZBGnIeoMs,2014-02-02T07:25:56Z,5134,117,0,7,PT2M54S
C5ekagH8wJ8,2014-03-13T16:51:08Z,9106,24,0,4,PT2M38S
Zk7WEK4Rkzk,2014-08-21T08:22:56Z,1529,4,0,0,PT1M29S
6tpFcrp1ivM,2014-02-06T18:17:28Z,223822,541,0,18,PT1M45S
AGF3RHnnueE,2014-05-20T13:43:03Z,1827,6,0,0,PT34S
ZB8pm3IfAKw,2014-08-07T07:26:43Z,569,27,0,7,PT2M40S
aEBK1r5fLp8,2014-04-15T18:45:34Z,469,17,0,3,PT4M26S
nbaSMFNDybk,2014-11-29T06:15:57Z,4332,84,0,5,PT1M11S
dsZ5fLVMLfI,2014-04-08T22:20:37Z,373,13,0,4,PT1M42S
ljRFJz8idEY,2014-05-19T10:34:42Z,202436,0,0,19,PT13M20S
WKdhttEl_BY,2014-04-10T16:42:51Z,424,3,0,0,PT2M53S
rij-vUFqhcU,2014-06-25T18:22:17Z,386,7,0,0,PT3M39S
SCnpGNLDzhU,2014-11-05T19:23:15Z,3081,14,0,2,PT2M58S
E5BYD-9Ec1w,2014-09-06T18:55:43Z,1311,33,0,2,PT40S
2OjNNtfembY,2014-07-25T06:33:19Z,1158,39,0,5,PT2M26S
Rl9ukSfBSlQ,2014-06-18T19:50:03Z,1039,39,0,10,PT1M34S
jn9SMDCTLl4,2014-03-17T19:49:20Z,185,13,0,5,PT3M7S
PXht1CzxI9Y,2014-04-30T06:49:28Z,375,17,0,4,PT7M23S
9MU5kuhGsU4,2014-07-08T19:00:02Z,161154,1135,0,217,PT8M19S
_BJ9mGvFsG4,2014-02-10T20:32:26Z,778,3,0,0,PT4M55S
