ID,Year,View Count,Length (s),Likes
zw9n-LOxLwU,2015,1216,68.0,9
SK_vzBFUhFs,2015,224497,76.0,690
MKAl8LxRQ3M,2015,113,10.0,8
3t0vtRN2vVk,2015,331420,826.0,3290
Dbg4QV_Q_c4,2015,1209390,548.0,18464
xR8gIMCMygM,2015,147701,47.0,101
LaQNi6V0l8o,2015,471280,254.0,7037
VSmtg0zYKc4,2015,710078,400.0,4722
hwDkQEOSo0Q,2015,77,11.0,4
RZLABK5GeJs,2015,5897,178.0,24
2fxOocW7wcw,2015,1312,281.0,12
5hkOUMJqw5c,2015,1502,115.0,43
bTVBqUFcnuM,2015,1585,211.0,2
Wgj4Z5TXv_E,2015,23644,232.0,19
ft-bMk4ji6E,2015,111042,332.0,2556
8_dg6I4h7Po,2015,10531,129.0,19
5eBZ-iqZ_SY,2015,657,64.0,7
eBORTSTGA_I,2015,1960565,146.0,8845
cxtdtuNXMWI,2015,868671,377.0,16743
aMnvQU-TLts,2015,225033,338.0,4180
ZBf2OS53f7s,2015,395495,81.0,442
ybsTg5-mVTs,2015,523029,738.0,2333
hHzcy2KKYiQ,2015,461965,415.0,6295
8SS19wziC-M,2015,66589,303.0,1108
jzXMSh5MQm0,2015,2540,330.0,0
3t0vtRN2vVk,2015,331420,826.0,3290
5eBZ-iqZ_SY,2015,657,64.0,7
ZBf2OS53f7s,2015,395495,81.0,442
Xh-ycRsNB0U,2015,345170,340.0,3160
oE5DQ4KInOc,2015,140832,227.0,1762
0dCC9jlly0Q,2015,215771,670.0,4596
BCzl2IhkzPw,2015,4907,187.0,16
OL2cKQHPKCE,2015,950627,482.0,10038
jVtfQnJnjvI,2015,3879,227.0,89
9a9YaXupvSM,2015,371731,414.0,4459
jVtfQnJnjvI,2015,3879,227.0,89
HDgYX8Qk_ww,2015,74059,418.0,1173
C7--XdIDNLQ,2015,28795,484.0,833
ezR3KG0zF1A,2015,610089,363.0,11342
ZibHY9--yX0,2015,280,76.0,4
Omg3zkq_e3Y,2015,5482,240.0,133
dasutxEbuHQ,2015,140492,368.0,1923
wxIHybdcFq0,2015,44124,429.0,777
rxOiKAAZudA,2015,231197,285.0,2599
-SxottrtKIA,2015,26830,620.0,522
grCesFnha2U,2015,56360,650.0,972
e4_lynNiEvc,2015,61613,568.0,896
u1ESNnGlgzQ,2015,77654,416.0,1143
rFNJ3izXAiM,2015,32600,344.0,606
PCYIpb-uG70,2015,187301,324.0,2090
rJLfvppKUck,2015,39701,362.0,785
e4_lynNiEvc,2015,61613,568.0,896
ReU2TI22b70,2015,174,7.0,4
ScfNqdBhuBY,2015,287,15.0,2
grCesFnha2U,2015,56360,650.0,972
4VZ92zM6a5E,2015,181915,370.0,3306
17AOd9gmASk,2015,109,46.0,3
FpnAWu_jKb0,2015,4965,1173.0,65
-SxottrtKIA,2015,26830,620.0,522
igJm3HYNmtg,2015,126561,350.0,1695
rJLfvppKUck,2015,39701,362.0,785
