ID,Year,View Count,Length (s)
ju5m5aOxHn4,2017,417281.0,867.0
_mZEQ--_Ii4,2017,30858.0,515.0
QlsstDzESTM,2017,3240341.0,444.0
ZDOuzhaUhnk,2017,2292952.0,973.0
bdSwf2i6eKk,2017,2535439.0,636.0
E_P_CMq_zk4,2017,1178999.0,566.0
0JiGIQOl7lM,2017,1245731.0,730.0
98DcXSWE0cs,2017,2580798.0,648.0
yr5Uv6YCgsU,2017,366199.0,670.0
bdSwf2i6eKk,2017,2535439.0,636.0
0JiGIQOl7lM,2017,1245731.0,730.0
yr5Uv6YCgsU,2017,366199.0,670.0
PcPLvbeYDRg,2017,8723175.0,824.0
QlsstDzESTM,2017,3240341.0,444.0
vpA-UboheOM,2017,1246697.0,590.0
Y_hQQnr9yM4,2017,479412.0,274.0
UPp2WEjvhpY,2017,62365.0,592.0
98DcXSWE0cs,2017,2580798.0,648.0
VKpcHzrncNQ,2017,3063714.0,150.0
gll6bw68nS8,2017,349391.0,734.0
DiLV4AMb3nc,2017,449985.0,810.0
hvJJIGT7YKY,2017,156598.0,1374.0
ni6nmGli1qU,2017,430206.0,817.0
nKUzwPI80cU,2017,544648.0,946.0
P_eeJVBSrPE,2017,283587.0,624.0
OhATtfwybYs,2017,687515.0,629.0
AdhD5N5dP00,2017,307089.0,541.0
1EUzH682UTo,2017,1056176.0,323.0
1FYKwpPijxE,2017,21083.0,60.0
tjLtxS03VCA,2017,1013.0,31.0
1EUzH682UTo,2017,1056176.0,323.0
1FYKwpPijxE,2017,21083.0,60.0
tjLtxS03VCA,2017,1013.0,31.0
v21ahkRakec,2017,1842114.0,749.0
MkBts5rx2wI,2017,931275.0,196.0
bYr4twGHE4w,2017,4420090.0,282.0
SvEPFzhpV-g,2017,462186.0,700.0
4nzU5v1Iw7Q,2017,19098385.0,334.0
OXjtMoPw1wU,2017,703052.0,225.0
t1wYBAulzWU,2017,133018339.0,158.0
fnEmkCUyad0,2017,285530.0,1097.0
QOn47-Gindw,2017,4320702.0,291.0
ZJKvcKYkmk8,2017,421.0,29.0
Eu6qWekh5D8,2017,867438.0,543.0
iRwpbSunftE,2017,676367.0,730.0
HWxWIinR63U,2017,48.0,28.0
5JqiccWa46k,2017,3141610.0,257.0
Nk5geRCrIJw,2017,477479.0,222.0
TPmVapRFE0o,2017,869496.0,215.0
ECqOfQDEB9Y,2017,6410698.0,450.0
QaMzg2BFd70,2017,454606.0,1088.0
IPPRYFymyJ8,2017,686172.0,741.0
qj853B0PTEs,2017,678380.0,803.0
YYn6QUkl2rk,2017,3102965.0,909.0
5FdFHSOjvWc,2017,727996.0,921.0
8ilCZkoCwXg,2017,362380.0,156.0
Tc3jYFW4ofE,2017,84231.0,759.0
nE4HDC2Lntg,2017,1031195.0,1463.0
GSf27Pc_YVk,2017,5205485.0,572.0
8Fst5Rnqitw,2017,320.0,32.0
