id,published_at,length,views
eX7fRHA3NJU,2014-02-08T02:36:01Z,PT5M4S,214549.0
adgiFKJKHLc,2014-09-19T18:26:35Z,PT3M36S,12694.0
semyy_C-Nts,2014-09-15T21:40:05Z,PT3M35S,277701.0
3EVTUxJtiGk,2014-12-01T21:12:55Z,PT2M4S,2181.0
5VolhQCqq9c,2014-09-03T18:29:18Z,PT1M4S,2864.0
wVXpHwgPHL0,2014-09-08T14:44:31Z,PT2M35S,1062.0
REP-0BdMH64,2014-07-21T16:00:07Z,PT4M28S,179404.0
kCoXkjWL0dQ,2014-03-24T14:10:24Z,PT2M,1460.0
tsytByoHFgE,2014-05-16T06:16:29Z,PT21M39S,
oTcbkAo7V-o,2014-07-22T07:28:31Z,PT3M13S,169286.0
QQDXDMwUJiA,2014-09-03T18:20:17Z,PT58S,5595.0
DFWZsZIlE98,2014-10-06T07:00:11Z,PT21M37S,
yFZ_HAj7WuU,2014-07-23T16:11:10Z,PT2M32S,2080.0
bVJALeLB5Yk,2014-06-17T05:18:14Z,PT24M42S,
XuI6N4OmNcw,2014-10-30T14:00:08Z,PT2M46S,5427.0
g4HJwLnPQAE,2014-09-03T18:38:40Z,PT1M4S,7602.0
YBrHUe65Is0,2014-01-10T17:49:24Z,PT2H12M45S,
-5DMlABmcZ8,2014-05-16T02:18:04Z,PT2M39S,1785.0
cDoijouB1SE,2014-04-17T17:35:41Z,PT6M55S,168519.0
rP1LeyN90D8,2014-09-03T18:26:47Z,PT1M11S,1233.0
WIH-JoPCSiM,2014-07-22T04:49:28Z,PT2M41S,12148.0
6X_6hding1k,2014-10-23T16:59:55Z,PT8M34S,2503283.0
5FtUg5THk9Y,2014-09-24T01:09:36Z,PT40S,698.0
Nr9S_qN232Y,2014-05-17T05:11:25Z,PT9S,250.0
Nt7j9DMHogg,2014-12-08T11:00:35Z,PT43M21S,
305T3S5NBg0,2014-06-24T04:00:07Z,PT1H38M16S,
qwYDXwg4A7M,2014-03-17T19:45:00Z,PT2M13S,258.0
iCj8WbLyhT0,2014-11-17T19:27:15Z,PT49S,41895.0
29m4wuC-lLA,2014-06-03T18:51:04Z,PT9M17S,393123.0
618NtOqlGDc,2014-06-03T15:13:42Z,PT2M29S,8852.0
e_rI10QNsCM,2014-12-08T05:01:29Z,PT42M4S,
s6K313Eo8bI,2014-07-02T18:34:20Z,PT44M31S,
fDqkyDlTVCk,2014-03-24T01:36:19Z,PT44M2S,
mIHSFKcqbnA,2014-03-23T07:41:11Z,PT41M15S,
wv55awOg7o4,2014-11-08T16:16:42Z,PT46S,4209.0
j7PfxbPaB8g,2014-12-19T20:42:37Z,PT2M23S,25971.0
rCMDLfQf_lk,2014-09-13T06:42:17Z,PT2M1S,
BMjTNbK_5bs,2014-10-03T23:43:05Z,PT33S,213.0
YrZBGnIeoMs,2014-02-02T07:25:56Z,PT2M54S,5134.0
